bundesland,year,solar_privat_y,completions_y,rate_privat_y,time_id
Hamburg,2020,484,1624.0,0.29802955665024633,6
Hamburg,2021,758,1332.0,0.5690690690690691,7
Hamburg,2022,1174,1476.0,0.7953929539295393,8
Hamburg,2023,3556,1092.0,3.2564102564102564,9
Hamburg,2024,3458,966.0,3.579710144927536,10
Hamburg,2025,3317,709.0,4.678420310296191,11
Hessen,2015,2567,5853.0,0.4385785067486759,1
Hessen,2016,2730,6425.0,0.42490272373540855,2
Hessen,2017,3932,6838.0,0.5750219362386663,3
Hessen,2018,4064,6147.0,0.6611355132585001,4
Hessen,2019,5799,6166.0,0.9404800518975024,5
Hessen,2020,10102,6713.0,1.504841352599434,6
Hessen,2021,13000,6273.0,2.07237366491312,7
Hessen,2022,18358,6539.0,2.8074629148187795,8
Hessen,2023,46619,5900.0,7.901525423728813,9
Hessen,2024,42405,4638.0,9.14294954721863,10
Hessen,2025,28856,3423.0,8.430032135553608,11
Mecklenburg-Vorpommern,2015,439,2372.0,0.18507588532883643,1
Mecklenburg-Vorpommern,2016,456,2392.0,0.19063545150501673,2
Mecklenburg-Vorpommern,2017,650,2305.0,0.28199566160520606,3
Mecklenburg-Vorpommern,2018,699,2528.0,0.276503164556962,4
Mecklenburg-Vorpommern,2019,1124,2445.0,0.4597137014314928,5
Mecklenburg-Vorpommern,2020,1843,3449.0,0.5343577848651783,6
Mecklenburg-Vorpommern,2021,2387,1976.0,1.207995951417004,7
Mecklenburg-Vorpommern,2022,4360,2273.0,1.9181698196216455,8
Mecklenburg-Vorpommern,2023,11861,2058.0,5.763362487852284,9
Mecklenburg-Vorpommern,2024,9078,1954.0,4.645854657113613,10
Mecklenburg-Vorpommern,2025,5726,1350.0,4.241481481481482,11
Niedersachsen,2015,3355,13552.0,0.24756493506493507,1
Niedersachsen,2016,3485,15355.0,0.22696190166069685,2
Niedersachsen,2017,4635,13937.0,0.3325679845016862,3
Niedersachsen,2018,5056,13522.0,0.37390918503180004,4
Niedersachsen,2019,8464,14028.0,0.6033646991730824,5
Niedersachsen,2020,15079,14728.0,1.0238321564367192,6
Niedersachsen,2021,21729,13719.0,1.583861797507107,7
Niedersachsen,2022,34736,14202.0,2.445852696803267,8
Niedersachsen,2023,98227,11111.0,8.840518405184051,9
Niedersachsen,2024,73508,8738.0,8.412451361867705,10
Niedersachsen,2025,51299,6840.0,7.499853801169591,11
Nordrhein-Westfalen,2015,7107,16686.0,0.42592592592592593,1
Nordrhein-Westfalen,2016,7330,17415.0,0.42090152167671546,2
Nordrhein-Westfalen,2017,9211,17266.0,0.5334761959921233,3
Nordrhein-Westfalen,2018,9939,16536.0,0.6010522496371553,4
Nordrhein-Westfalen,2019,17033,17389.0,0.9795272873655759,5
Nordrhein-Westfalen,2020,30550,17021.0,1.7948416661770754,6
Nordrhein-Westfalen,2021,39684,16019.0,2.4773081965166366,7
Nordrhein-Westfalen,2022,59918,15344.0,3.9049791449426485,8
Nordrhein-Westfalen,2023,156735,14143.0,11.082160786254684,9
Nordrhein-Westfalen,2024,114722,10901.0,10.523988624896798,10
Nordrhein-Westfalen,2025,83097,9301.0,8.934200623588861,11
Rheinland-Pfalz,2015,2539,5550.0,0.45747747747747747,1
Rheinland-Pfalz,2016,2636,5935.0,0.4441449031171019,2
Rheinland-Pfalz,2017,3362,5894.0,0.5704105870376655,3
Rheinland-Pfalz,2018,3682,6387.0,0.5764834820729607,4
Rheinland-Pfalz,2019,5484,5893.0,0.930595621924317,5
Rheinland-Pfalz,2020,9396,6041.0,1.5553716272140374,6
Rheinland-Pfalz,2021,12513,5582.0,2.2416696524543176,7
Rheinland-Pfalz,2022,17475,5611.0,3.114418107289253,8
Rheinland-Pfalz,2023,45581,5487.0,8.307089484235465,9
Rheinland-Pfalz,2024,36245,3987.0,9.090795084023075,10
Rheinland-Pfalz,2025,25094,2822.0,8.89227498228207,11
Saarland,2015,457,779.0,0.5866495507060334,1
Saarland,2016,482,864.0,0.5578703703703703,2
Saarland,2017,585,862.0,0.6786542923433875,3
Saarland,2018,631,792.0,0.7967171717171717,4
Saarland,2019,838,937.0,0.8943436499466382,5
Saarland,2020,1289,879.0,1.4664391353811148,6
Saarland,2021,1818,836.0,2.174641148325359,7
Saarland,2022,2918,890.0,3.2786516853932586,8
Saarland,2023,8329,783.0,10.637292464878671,9
Saarland,2024,6593,516.0,12.777131782945736,10
Saarland,2025,4950,297.0,16.666666666666668,11
Sachsen,2015,1463,3287.0,0.44508670520231214,1
Sachsen,2016,1464,4301.0,0.3403859567542432,2
Sachsen,2017,1872,3591.0,0.5213032581453634,3
Sachsen,2018,2267,3642.0,0.6224601867105986,4
Sachsen,2019,3172,3907.0,0.8118761197850013,5
Sachsen,2020,5807,4001.0,1.451387153211697,6
Sachsen,2021,6853,3401.0,2.0149955895324902,7
Sachsen,2022,10714,3678.0,2.9129961935834694,8
Sachsen,2023,27192,3443.0,7.89776357827476,9
Sachsen,2024,20775,2722.0,7.632255694342395,10
Sachsen,2025,12738,1899.0,6.707740916271722,11
Sachsen-Anhalt,2015,976,1896.0,0.5147679324894515,1
Sachsen-Anhalt,2016,1033,2124.0,0.486346516007533,2
Sachsen-Anhalt,2017,1300,2152.0,0.604089219330855,3
Sachsen-Anhalt,2018,1367,2250.0,0.6075555555555555,4
Sachsen-Anhalt,2019,2221,2235.0,0.9937360178970918,5
Sachsen-Anhalt,2020,3835,2392.0,1.6032608695652173,6
Sachsen-Anhalt,2021,4488,2133.0,2.1040787623066106,7
Sachsen-Anhalt,2022,7093,2487.0,2.852030558906313,8
Sachsen-Anhalt,2023,18385,2165.0,8.491916859122401,9
Sachsen-Anhalt,2024,14091,1368.0,10.300438596491228,10
Sachsen-Anhalt,2025,8982,1019.0,8.814524043179588,11
Schleswig-Holstein,2015,1111,5413.0,0.2052466284869758,1
Schleswig-Holstein,2016,1134,6835.0,0.16591075347476225,2
Schleswig-Holstein,2017,1353,6037.0,0.22411793937386118,3
Schleswig-Holstein,2018,1490,5253.0,0.2836474395583476,4
Schleswig-Holstein,2019,2126,5485.0,0.38760255241567915,5
Schleswig-Holstein,2020,3951,5974.0,0.6613659189822565,6
Schleswig-Holstein,2021,5550,5459.0,1.016669719728888,7
Schleswig-Holstein,2022,9367,5143.0,1.8213105191522458,8
Schleswig-Holstein,2023,27401,4922.0,5.567045916294189,9
Schleswig-Holstein,2024,22381,3538.0,6.325890333521763,10
Schleswig-Holstein,2025,15373,2888.0,5.323060941828255,11
Thüringen,2015,1039,1883.0,0.5517790759426447,1
Thüringen,2016,1130,1965.0,0.5750636132315522,2
Thüringen,2017,1474,1889.0,0.7803070407623081,3
Thüringen,2018,1549,1950.0,0.7943589743589744,4
Thüringen,2019,1771,1836.0,0.9645969498910676,5
Thüringen,2020,2789,2141.0,1.302662307333022,6
Thüringen,2021,3948,1734.0,2.2768166089965396,7
Thüringen,2022,5790,1788.0,3.238255033557047,8
Thüringen,2023,16545,1540.0,10.743506493506494,9
Thüringen,2024,14611,1193.0,12.247275775356245,10
Thüringen,2025,8911,660.0,13.501515151515152,11
